date,probe,cone_deg,dp_nPa,Dn,EB,qc_transition,boundary_note,cone_bin
2015-05-07,thd,69.8,2.25,5.9466,0.3865,unclear,plausible,perpendicular
2015-05-07,the,75.4,3.28,0.0822,3.9009,clean,plausible,perpendicular
2015-05-10,tha,74.6,1.66,3.2263,0.9961,unclear,uncertain,perpendicular
2015-05-10,the,74.6,1.67,44.4858,1.5474,mixed,uncertain,perpendicular
2015-05-20,tha,46.8,2.63,0.7438,1.5652,clean,plausible,intermediate
2015-05-20,thd,49.5,2.62,0.8236,1.3314,clean,plausible,intermediate
2015-06-08,tha,52.9,7.65,0.2718,2.3765,clean,uncertain,intermediate
2015-06-08,thd,53.4,7.86,0.3401,2.1008,clean,uncertain,intermediate
2015-06-08,the,52.8,7.62,1.2369,2.2198,mixed,uncertain,intermediate
2015-06-23,tha,81.2,3.78,1.3461,1.4851,mixed,plausible,perpendicular
2015-06-23,thd,80.1,3.53,1.0829,1.5179,mixed,plausible,perpendicular
2015-06-23,the,80.1,3.53,1.519,1.5463,mixed,plausible,perpendicular
2016-06-24,tha,75.8,2.15,1.2783,1.7472,mixed,plausible,perpendicular
2016-06-24,thd,69.4,3.5,0.6874,3.5264,clean,plausible,perpendicular
2016-07-20,tha,57.5,7.58,3.4407,1.8637,mixed,uncertain,intermediate
2016-07-20,thd,25.5,7.76,6.9044,2.4407,mixed,uncertain,quasi-radial
2016-07-24,tha,87.9,5.04,1.2997,1.3433,mixed,plausible,perpendicular
2016-07-24,the,85.4,4.7,1.3755,1.505,mixed,plausible,perpendicular
2016-07-28,tha,80.7,7.01,0.1163,17.0542,clean,uncertain,perpendicular
2016-07-28,the,68.2,5.09,0.2352,2.792,clean,plausible,perpendicular
2016-08-02,tha,86.2,6.3,2.7663,1.3836,mixed,uncertain,perpendicular
2016-08-02,thd,53.5,7.6,0.5944,9.6338,clean,uncertain,intermediate
2017-08-04,tha,76.3,5.71,8.5463,3.0821,mixed,plausible,perpendicular
2017-08-04,the,77.3,8.69,0.151,4.6492,clean,uncertain,perpendicular
2017-08-22,thd,71.8,3.12,1.6947,0.4915,unclear,plausible,perpendicular
2017-08-22,the,35.2,1.91,1.267,2.4748,mixed,uncertain,low-cone
2017-08-25,tha,13.1,1.65,0.9957,2.3562,clean,uncertain,quasi-radial
2017-08-25,the,43.5,1.48,0.8875,1.4857,clean,uncertain,low-cone
2017-08-26,tha,56.9,1.54,0.0276,2.4303,clean,uncertain,intermediate
2017-08-26,the,48.0,1.61,0.9427,1.4608,clean,uncertain,intermediate
2017-09-01,tha,36.4,2.35,1.0446,2.5701,mixed,plausible,low-cone
2017-09-01,thd,37.2,3.51,0.1886,2.9987,clean,plausible,low-cone
2017-09-02,tha,57.4,2.58,0.889,6.46,clean,plausible,intermediate
2017-09-02,thd,53.5,2.21,1.2777,1.6844,mixed,plausible,intermediate
2017-09-11,tha,80.1,2.74,0.5713,5.4318,clean,plausible,perpendicular
2017-09-11,thd,74.4,2.6,1.2663,1.3581,mixed,plausible,perpendicular
2017-09-15,tha,51.8,3.14,0.6697,3.7391,clean,plausible,intermediate
2017-09-15,thd,51.1,3.13,1.2983,1.1646,mixed,plausible,intermediate
2017-09-15,the,46.9,2.98,2.8644,2.8476,mixed,plausible,intermediate
2017-09-16,tha,49.2,3.18,0.7464,3.6339,clean,plausible,intermediate
2017-09-16,the,44.5,2.24,0.866,3.803,clean,plausible,low-cone
2017-09-17,thd,64.9,2.87,0.8721,1.5856,clean,plausible,perpendicular
2017-09-17,the,45.5,2.12,0.6019,3.9122,clean,plausible,intermediate
2017-09-18,tha,64.0,2.98,1.1978,4.2361,mixed,plausible,perpendicular
2017-09-18,thd,89.4,2.65,0.7113,2.4415,clean,plausible,perpendicular
2017-09-18,the,65.7,3.01,3.4052,3.7594,mixed,plausible,perpendicular
2017-09-27,tha,42.7,4.3,0.3341,2.8557,clean,plausible,low-cone
2017-09-27,thd,45.8,4.57,0.4103,3.1804,clean,plausible,intermediate
2017-09-27,the,56.9,5.59,0.8527,5.3219,clean,plausible,intermediate
2017-10-12,thd,81.3,5.78,0.7137,2.1507,clean,plausible,perpendicular
2017-10-12,the,68.0,4.59,0.6708,5.9305,clean,plausible,perpendicular
2018-08-26,tha,75.4,6.12,0.1787,1.8406,clean,uncertain,perpendicular
2018-08-26,thd,72.7,4.56,0.7881,2.7289,clean,plausible,perpendicular
2018-09-10,thd,52.3,4.03,0.3605,3.283,clean,plausible,intermediate
2018-09-10,the,76.6,5.8,0.1705,4.0295,clean,plausible,perpendicular
2018-09-11,tha,41.7,4.72,0.5768,5.9283,clean,plausible,low-cone
2018-09-11,thd,52.3,4.01,0.3794,3.6038,clean,plausible,intermediate
2018-09-13,tha,56.0,2.33,0.1126,2.7346,clean,plausible,intermediate
2018-09-13,the,70.0,3.03,0.5305,3.7045,clean,plausible,perpendicular
2018-09-14,tha,65.6,2.24,0.216,4.382,clean,plausible,perpendicular
2018-09-14,thd,51.5,1.93,0.4355,8.5933,clean,uncertain,intermediate
2018-09-16,thd,54.7,1.62,0.1427,3.8658,clean,uncertain,intermediate
2018-09-16,the,41.2,2.29,0.5546,12.1058,clean,plausible,low-cone
2018-09-17,tha,79.2,3.19,2.31,0.7702,unclear,plausible,perpendicular
2018-09-17,thd,72.8,2.05,0.3256,4.0297,clean,plausible,perpendicular
2018-09-17,the,43.3,2.56,0.1384,9.3417,clean,plausible,low-cone
2018-09-18,tha,65.6,1.67,1.2505,2.3627,mixed,uncertain,perpendicular
2018-09-18,thd,65.4,1.98,0.1442,4.6172,clean,uncertain,perpendicular
2018-09-21,tha,81.3,2.96,2.3404,7.2051,mixed,plausible,perpendicular
2018-09-21,thd,77.2,0.88,0.9147,2.345,clean,uncertain,perpendicular
2018-09-21,the,86.8,5.19,5.2142,5.776,mixed,plausible,perpendicular
2018-09-22,tha,73.5,3.14,1.2578,1.9734,mixed,plausible,perpendicular
2018-09-22,thd,62.3,2.75,0.121,2.3118,clean,plausible,perpendicular
2018-09-23,tha,53.8,1.6,1.4351,14.7222,mixed,uncertain,intermediate
2018-09-23,thd,60.8,2.77,3.3764,6.9365,mixed,plausible,perpendicular
2018-09-23,the,84.4,2.25,0.1434,2.7979,clean,plausible,perpendicular
2018-09-24,thd,67.4,6.29,0.2347,26.0519,clean,uncertain,perpendicular
2018-09-24,the,47.8,4.27,0.0508,4.1384,clean,plausible,intermediate
2018-09-25,thd,74.7,6.78,0.0494,24.9176,clean,uncertain,perpendicular
2018-09-25,the,39.3,3.75,7.6787,1.2137,mixed,plausible,low-cone
2018-09-26,tha,47.5,1.69,0.8823,1.6937,clean,uncertain,intermediate
2018-09-26,thd,45.7,2.1,4.3233,7.3891,mixed,plausible,intermediate
2018-09-26,the,20.6,1.32,0.7858,2.0112,clean,uncertain,quasi-radial
2018-09-27,tha,41.1,1.69,0.998,1.8136,clean,uncertain,low-cone
2018-09-27,thd,63.1,3.03,6.5685,3.9812,mixed,plausible,perpendicular
2018-09-27,the,21.7,1.31,1.1606,1.2774,mixed,uncertain,quasi-radial
2018-09-29,thd,89.7,2.87,8.7707,5.3673,mixed,plausible,perpendicular
2018-09-29,the,76.9,2.57,6.4014,4.986,mixed,plausible,perpendicular
2018-09-30,tha,35.1,1.38,1.4541,1.0921,mixed,uncertain,low-cone
2018-09-30,thd,35.8,1.27,2.0244,5.8387,mixed,uncertain,low-cone
2018-09-30,the,34.7,1.12,0.0314,4.3681,clean,uncertain,low-cone
