encounter_id,spacecraft,date,year,month,probe,sza_deg,mlt,cone_deg,clock_deg,dp_nPa,bz_nT,near_occ,bg_occ,Dn,EB,qc_transition_cleanliness,qc_disturbance,qc_boundary_motion,omni_context_quality_note,boundary_uncertainty_note,routeC_core_usable,exclude_reason,cone_bin
exp_20100921_the,themis,2010-09-21,2010,9,the,1.7,12.0,73.0,18.5,1.2,3.1,0.7728,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100922_thd,themis,2010-09-22,2010,9,thd,1.2,12.1,61.8,7.6,0.51,2.91,0.7095,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100912_the,themis,2010-09-12,2010,9,the,5.8,12.1,53.1,292.1,0.75,0.95,0.6286,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20100923_the,themis,2010-09-23,2010,9,the,0.9,12.0,86.7,320.9,3.21,8.12,0.5799,0.0,,,not_assessed,uncertain,stable,good,plausible,False,bg_occ=0.000<1%,perpendicular
exp_20100923_thd,themis,2010-09-23,2010,9,thd,0.9,12.0,89.5,320.8,3.21,8.11,0.5913,0.0,,,not_assessed,uncertain,stable,good,plausible,False,bg_occ=0.000<1%,perpendicular
exp_20100924_tha,themis,2010-09-24,2010,9,tha,3.1,12.0,59.4,207.0,2.09,-1.51,0.6071,0.0,,,not_assessed,uncertain,stable,good,plausible,False,bg_occ=0.000<1%,intermediate
exp_20100924_thd,themis,2010-09-24,2010,9,thd,0.7,12.0,60.3,193.8,2.06,-1.0,0.6581,0.0,,,not_assessed,uncertain,stable,good,plausible,False,bg_occ=0.000<1%,perpendicular
exp_20100924_the,themis,2010-09-24,2010,9,the,0.5,12.0,59.9,206.4,2.08,-1.46,0.6271,0.0,,,not_assessed,uncertain,stable,good,plausible,False,bg_occ=0.000<1%,intermediate
exp_20100925_tha,themis,2010-09-25,2010,9,tha,2.6,12.0,86.3,290.9,0.81,0.16,0.8243,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100925_the,themis,2010-09-25,2010,9,the,0.1,12.0,89.3,292.9,0.81,0.19,0.7935,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
